able	здатний, спроможний
above	над, вище
across	через, крізь
add	додавати
against	проти
ago	тому (про час)
almost	майже
among	серед, поміж
animal	тварина
answer	відповідь, відповідати
became	став, стала
become	ставати
began	почав, почала
behind	позаду, за
being	буття, істота, будучи
better	краще, кращий
black	чорний
best	найкращий
body	тіло
book	книга, бронювати
boy	хлопець, хлопчик
brought	приніс, принесла
call	дзвонити, кликати, виклик
cannot	не можу, не може
car	автомобіль, машина
certain	певний, деякий
change	зміна, змінювати, решта
children	діти
city	місто
close	закривати, близький
cold	холодний, застуда
country	країна, село
course	курс, страва
cut	різати, поріз
didn't	не (минулий час)
dog	собака, пес
done	зроблено, готовий
door	двері
draw	малювати, тягнути
during	протягом, під час
early	ранній, рано
earth	земля
eat	їсти
enough	достатньо, досить
ever	колись, завжди
example	приклад
eye	око
face	обличчя, стикатися
family	сім'я, родина
far	далеко
father	батько
feel	відчувати, почуватися
feet	ноги, ступні, фути
fire	вогонь, пожежа, звільняти
fish	риба, рибалити
five	п'ять
food	їжа
form	форма, формувати, бланк
four	чотири
front	передній, фронт, перед
gave	дав, дала
given	даний, дано
got	отримав, дістав
green	зелений
ground	земля, ґрунт
group	група
grow	рости, вирощувати
half	половина
hand	рука, кисть, передавати
hard	твердий, важкий, важко
heard	чув, чула
high	високий
himself	сам, себе (про нього)
however	однак, проте
I'll	я буду (скорочення)
I'm	я є (скорочення)
idea	ідея, думка
important	важливий
inside	всередині, всередину
keep	тримати, зберігати
kind	добрий, вид, тип
knew	знав, знала
known	відомий
land	земля, приземлятися
later	пізніше
learn	вчитися, дізнаватися
let	дозволяти, нехай
letter	лист, літера
life	життя
light	світло, легкий, запалювати
live	жити, живий
living	живий, життя, вітальня
making	створення, виробництво
mean	значити, мати на увазі, підлий
means	засоби, спосіб
money	гроші
morning	ранок
mother	мати, мама
move	рухатися, рух, переїжджати
Mrs.	місіс, пані
near	близько, поруч
night	ніч
nothing	нічого, ніщо
once	одного разу, колись
open	відкривати, відкритий
order	порядок, замовлення, наказувати
page	сторінка
paper	папір, газета
parts	частини
perhaps	можливо, мабуть
picture	картина, малюнок, фото
play	грати, гра, п'єса
point	точка, пункт, вказувати
ready	готовий
red	червоний
remember	пам'ятати, згадати
rest	відпочинок, решта, відпочивати
room	кімната, місце, простір
run	бігти, біг, керувати
school	школа
sea	море
second	другий, секунда
seen	побачений
sentence	речення, вирок
several	декілька, кілька
short	короткий, низький
shown	показаний
since	з того часу, оскільки
six	шість
slide	ковзати, слайд, гірка
sometime	колись, колишній
soon	скоро, незабаром
space	простір, космос
story	історія, розповідь, поверх
sun	сонце
sure	впевнений, звичайно
table	стіл, таблиця
though	хоча, проте
today	сьогодні
told	сказав, розповів
took	взяв, взяла
top	вершина, верхній
toward	до, в напрямку до
tree	дерево
try	пробувати, намагатися, спроба
turn	повертати, поворот, черга
united	об'єднаний, згуртований
until	до, доки не
upon	на, після
using	використання, використовуючи
usually	зазвичай
white	білий
whole	весь, цілий
wind	вітер, заводити (годинник)
without	без
yes	так
yet	ще, проте
young	молодий
