age	вік, ера
ask	запитувати, просити
baby	дитина, малюк
base	база, основа
beside	поруч, біля
bright	яскравкий, світлий
business	бізнес, справа
buy	купувати
case	випадок, справа, кейс
catch	ловити, піймати
caught	упіймав, упійманий
child	дитина
choose	вибирати
circle	коло, круг
clear	ясний, чистий, зрозумілий
color	колір
copy	копія, копіювати
correct	правильний, виправляти
couldn't	не міг, не могла
difference	різниця, відмінність
direction	напрямок, керівництво
dried	висушений, висох
easily	легко
edge	край, кромка
egg	яйце
eight	вісім
energy	енергія
England	Англія
especially	особливо
Europe	Європа
exactly	точно, саме так
except	крім, за винятком
explain	пояснювати
famous	відомий, знаменитий
farm	ферма
fell	упав, упала
figure	фігура, цифра, малюнок
flat	плоский, квартира
fly	літати, муха
forest	ліс
free	вільний, безкоштовний
fun	веселощі, забава
government	уряд
grass	трава
grew	виріс, виросла
hair	волосся
happy	щасливий
he's	він є (скорочення)
heat	тепло, спека, нагрівати
history	історія
human	людина, людський
I've	я маю (скорочення)
inch	дюйм
information	інформація
iron	залізо, праска, прасувати
king	король
larger	більший
late	пізній, пізно
leg	нога (від стегна до стопи)
length	довжина
listen	слухати
lost	загублений, втратив
lot	багато, доля, ділянка
lower	нижчий, опускати
machine	машина, механізм
mark	відмітка, оцінка, позначати
maybe	можливо, може бути
measure	міра, вимірювати
meet	зустрічати, знайомитися
middle	середина, середній
milk	молоко
minute	хвилина
modern	сучасний, модерновий
moment	момент, мить
month	місяць (календарний)
mouth	рот
natural	природний, натуральний
nearly	майже, приблизно
necessary	необхідний
north	північ
object	об'єкт, предмет, заперечувати
ocean	океан
oil	олія, нафта, масло
pay	платити, плата
per	на, за, в
plan	план, планувати
plane	літак, площина
present	теперішній, подарунок, припускати
product	продукт, виріб
rather	скоріше, досить
reach	досягати, діставати
reason	причина, розум
record	запис, рекорд, записувати
running	біг, біговий, працюючий
seems	здається
sent	надісланий, відправив
seven	сім
shape	форма, очір, формувати
sides	сторони, боки
single	єдиний, один, неодружений
skin	шкіра
sleep	сон, спати
smaller	менший
soft	м'який
soil	ґрунт, земля
south	південь
speak	говорити, розмовляти
speed	швидкість
spring	весна, джерело, пружина
square	квадрат, площа
star	зірка
step	крок, ступати
store	магазин, склад, зберігати
straight	прямий, прямо
strange	дивний, чужий
street	вулиця
subject	предмет, тема, підданий
suppose	припускати
teacher	вчитель
thousand	тисяча
thus	таким чином, отже
travel	подорож, подорожувати
trip	поїздка, екскурсія
trouble	біда, проблема, турбувати
unit	одиниця, блок
village	село
wall	стіна
war	війна
wasn't	не був, не була
week	тиждень
whose	чий, чия, чиє
window	вікно
wish	бажання, бажати
women	жінки
won't	не буде (скорочення)
wood	дерево, ліс, деревина
wrote	написав, написала
yellow	жовтий
you're	ти є, ви є (скорочення)
yourself	ти сам, себе
