action	дія, вчинок
addition	додавання, доповнення
afraid	зляканий, боязкий
afternoon	день, післяобідній час
ahead	попереду, вперед
amount	кількість, сума
ancient	древній, стародавній
anyone	хто завгодно, будь-хто
arm	рука (від плеча до кисті), озброювати
bad	поганий
bear	ведмідь, витримувати
beyond	за, поза, поза межами
bit	трохи, шматочок
blood	кров
board	дошка, рада, борт
born	народжений
break	ламати, перерва
broken	зламаний, розбитий
brother	брат
brown	коричневий
busy	зайнятий
capital	столиця, капітал, велика літера
cat	кіт, кішка
cattle	худоба, рогата худоба
cause	причина, викликати
century	століття, вік
chance	шанс, можливість, випадок
clean	чистий, чистити
clothes	одяг
coast	узбережжя, берег
control	контроль, керування, контролювати
cool	прохолодний, крутий
corn	кукурудза, зерно
corner	куток, кут
cover	покривати, обкладинка, кришка
cross	хрест, перетинати
dead	мертвий
deal	угода, мати справу, багато
death	смерть
decide	вирішувати
difficult	важкий, складний
doesn't	не (для третьої особи однини)
drive	водити (авто), їзда, поїздка
engine	двигун, мотор
evening	вечір
farmer	фермер
faster	швидше
fight	боротися, бій, бійка
fill	наповнювати
finger	палець (на руці)
force	сила, змушувати
forward	вперед
fresh	свіжий
garden	сад, город
general	загальний, генерал
glad	радий
greater	більший, видатніший
greatest	найбільший, найвеличніший
guess	вгадувати, здогадка
happen	траплятися, ставатися
higher	вищий
hit	ударяти, хіт, удар
hole	яма, отвір, діра
hope	надія, сподіватися
huge	величезний
interest	інтерес, відсоток, цікавити
island	острів
isn't	не є
jack	валет, домкрат, хлопець
lady	леді, пані
largest	найбільший
lead	вести, свинець, лідирувати
led	вів, привів
level	рівень, плоский
love	любов, кохання, любити
material	матеріал, матеріальний
meant	означав, мав на увазі
meat	м'ясо
method	метод, спосіб
missing	відсутній, зниклий
needs	потреби, потребує
nor	ні, також ні
nose	ніс
note	нотатка, записка, примітка
opposite	протилежний, навпроти
pair	пара
party	вечірка, партія, сторона
pass	проходити, здавати (іспит), перепустка
period	період, епоха, крапка
please	будь ласка, догоджати
position	позиція, становище, посада
pound	фунт, бити
practice	практика, практикуватися
pretty	досить, гарненький
produce	виробляти, продукція
pull	тягнути, смикати
quiet	тихий, тиша
race	гонка, раса, змагатися
radio	радіо
region	регіон, область, край
result	результат, приводити до
return	повернення, повертатися
rich	багатий
ride	їхати верхи, поїздка
ring	кільце, перстень, дзвонити
rule	правило, правління, правити
sand	пісок
science	наука
section	розділ, секція, частина
seed	насіння, насінина
send	надсилати, відправляти
sense	почуття, зміст, відчувати
sets	набори, комплекти, встановлює
sharp	гострий, різкий
sight	зір, погляд, визначна пам'ятка
sign	знак, підписувати, підпис
silver	срібло, срібний
similar	схожий, подібний
sit	сидіти
son	син
song	пісня
spent	витрачений, провів
spread	поширювати, розповсюдження
stick	палиця, приклеювати
stone	камінь
tail	хвіст
team	команда
teeth	зуби
temperature	температура
test	тест, випробування, тестувати
there's	там є (скорочення)
therefore	тому, отже
thick	товстий, густий
thin	тонкий, худий
train	поїзд, тренуватися
various	різноманітні, різні
wait	чекати
wave	хвиля, махати
we'll	ми будемо (скорочення)
weight	вага
west	захід (сторона світу)
wife	дружина
wouldn't	не став би, не стала б
wrong	неправильний, невірний
you'll	ти будеш, ви будете (скорочення)
