about	про, близько
after	після, за
again	знову, ще раз
air	повітря
all	всі, все, весь
along	вздовж, по
also	також, теж
and	і, та
another	інший, ще один
any	будь-який, який-небудь
are	є
around	навколо, кругом
as	як, в якості
at	в, біля, на
away	далеко, геть
back	назад, спина
be	бути
because	тому що, бо
been	був, була
before	перед, до, раніше
below	нижче, під
between	між
both	обидва, обоє
but	але, крім
by	біля, поруч, за допомогою
came	прийшов, прийшла
can	могти, вміти, бляшанка
come	приходити, іти
could	міг, могла, могли
day	день
did	робив, зробив
different	різний, відмінний
do	робити
does	робить
down	вниз, внизу
each	кожен, кожна
end	кінець, закінчувати
even	навіть, рівний
every	кожен, всякий
few	декілька, мало
find	знаходити, знайти
first	перший, спочатку
for	для, ради, протягом
found	знайшов, заснував
from	від, з
get	отримувати, діставати
give	давати, дарувати
go	йти, їхати
good	хороший, добрий
great	великий, чудовий
had	мав, мала
has	має
have	мати, володіти
he	він
help	допомога, допомагати
her	її, їй
here	тут, сюди
him	його, йому
his	його
home	дім, вдома
house	будинок, дім
how	як, яким чином
I	я
if	якщо
in	в, у, всередині
into	в, всередину
is	є
it	воно, це
its	його, її
just	просто, тільки що
know	знати
large	великий, крупний
last	останній, минулий
left	лівий, ліворуч, залишив
like	подобатися, як, подібний
line	лінія, рядок
little	маленький, мало
long	довгий, довго
look	дивитися, погляд, вигляд
made	зробив, зроблений
make	робити, створювати
man	чоловік, людина
many	багато
may	могти, травень
me	мене, мені
men	чоловіки, люди
might	міг би, сила
more	більше
most	найбільше, більшість
Mr.	містер, пан
must	мусити, повинен
my	мій, моя, моє
name	ім'я, назва, називати
never	ніколи
new	новий
next	наступний, поруч
no	ні
not	не
now	зараз, тепер
number	число, номер, кількість
of	з, від
off	вимкнено, геть, з
old	старий
on	на, увімкнено
one	один
only	тільки, лише, єдиний
or	або, чи
other	інший
our	наш, наша
out	з, назовні, поза
over	над, через, закінчено
own	власний, володіти
part	частина, роль
people	люди, народ
place	місце, розміщувати
put	класти, ставити
read	читати
right	правий, правильний, право
said	сказав, сказала
same	той самий, однаковий
saw	бачив, пила
say	говорити, сказати
see	бачити
she	вона
should	повинен, слід би
show	показувати, шоу
small	маленький
so	так, отже, таким чином
some	деякі, кілька, трохи
something	щось, дещо
sound	звук, звучати
still	все ще, досі, тихий
such	такий, подібний
take	брати, узяти
tell	розповідати, говорити
than	ніж, за
that	той, та, що
them	їх, їм
then	тоді, потім
there	там, туди
these	ці
they	вони
thing	річ, предмет
think	думати
this	цей, ця, це
those	ті
thought	думка, думав
three	три
through	через, крізь
time	час, раз
to	до, в, на
together	разом
too	також, занадто
two	два
under	під
up	вгору, вгорі
us	нас, нам
use	використовувати, використання
very	дуже
want	хотіти
water	вода
way	шлях, спосіб
we	ми
well	добре, колодязь
went	пішов, поїхав
were	були
what	що, який
when	коли
where	де, куди
which	який, котрий
while	в той час як, поки
who	хто
why	чому, навіщо
will	буде, воля
with	з
word	слово
work	робота, працювати
world	світ, земля
would	би
write	писати
year	рік
you	ти, ви
your	твій, ваш
was	був, була
