National Anthem	национальный гимн
U-turn	разворот; резкое и неожиданное изменение (поведения)
a little too much	немного больше нормы
absolutely	абсолютно, точно
academic	академический, учебный
accident	авария, происшествие; случайность
accidentally	случайно; непредумышленно
according to	в соответствии с
accurately	точно
across the street	через улицу
agitated	взволнованный, раздраженный
allergic	склонный к аллергии
along	вдоль
amusing	занимательный, забавный
annoying	занудный, досадный
anonymous	анонимный
appointment	встреча
argument	довод, аргумент, доказательство; спор; изложение доводов
armchair	кресло
art	искусство
assignment	назначение; задание; командировка
at the bottom of	внизу, снизу
back	спина, позвоночник; изнанка, тыльная сторона; назад, обратно, позади
background	фон; происхождение, подоплёка, предпосылка
bad cold	сильная простуда
bee	пчела
bell	колокол; звонок
beside	рядом с; за пределами
beside the purpose	нецелесообразно
bill	купюра, счёт; список
blood pressure	кровяное давление
boring	скучный
branch bank	филиал банка
branch of a company	филиал компании
brand	торговая марка; сорт, разновидность; клеймо
brave	отважный, смелый; отличный, отменный
briefcase	дипломат
bright	яркий, блестящий, светящийся; радостный; привлекательный; смышленый; обнадёживающий
built-up	составной; сборный
butter	масло
by mistake	ошибочно, по ошибке
cafeteria	столовая, кафе
capable	способный, талантливый, искусный; просторный, вместительный
carefully	тщательно, внимательно; осторожно
carpet	ковер
cartoon	мультфильм
celery	сельдерей
challenging	стимулирующий, побуждающий, манящий; испытывающий
chicken	курица, цыпленок
cholesterol level	уровень холестерина
circus	цирк
clearly	ясно; очевидно; четко, разборчиво
clothesline	веревка для вывешивания белья
coin	монета
coincidence	точное совпадение; синхронность; случайное стечение обстоятельств
collection	коллекция
collision	столкновение
committee	комитет
compatible	совместимый
complete	полный, завершенный
concerned	обеспокоенный
condition	состояние, положение
conditions	условия, обстоятельства
considerate	внимательный к другим, деликатный, тактичный; продуманный
convenient	удобный, подходящий; близкий
couch	диван, софа
crazy	сумасшедший, странный
crisis	кризис
curious	любопытный
cute	привлекательный, изящный; забавный; ловкий, хитрый
dangerous	опасный
date	свидание
definitely	определенно, точно, явно
delicious	вкусный, превосходный
depth	глубина
dessert	десерт
difference	разница, различие
direct	прямой; непосредственный
disappointing	разочаровывающий
dishwasher	посудомоечная машина
distance	расстояние
downtown	центр города
drape	занавес
dream	сон
drug store	аптека
due	должный, надлежащий
earring	серьга
elegant	элегантный
elephant	слон
embarrassing	смущающий, вызывающий стыд
employee	наемный работник
encounter	случайная встреча, первое знакомство; столкновение, стычка
energetically	энергично
entertaining	забавляющий, развлекающий
enthusiastically	с энтузиазмом
entire	полный, целый, весь; цельный; единый;  полнота, завершенность
envelope	конверт; упаковка, оболочка; огибающая линия
equal rights	равные права
evening gown	вечернее платье
event	событие
